answer,tags,question,a,b,c,d
b,"Contracts, Uniform Commercial Code,","On July 15, in a writing signed by both parties, a company agreed to deliver to a customer on August 15 five storage cabinets from inventory for a total price of $5,000 to be paid on delivery. On August 1, the two parties orally agreed to postpone the delivery date to August 20. On August 20, the company tendered the cabinets to the customer, who refused to accept or pay for them on the ground that they were not tendered on August 15, even though they otherwise met the contract specifications. Assuming that all appropriate defenses are seasonably raised, will the company succeed in an action against the customer for breach of contract?","Yes, because neither the July 15 agreement nor the August 1 agreement was required to be in writing.","Yes, because the August 1 agreement operated as a waiver of the August 15 delivery term.","No, because there was no consideration to support the August 1 agreement.","No, because the parol evidence rule will prevent proof of the August 1 agreement."
d,"Criminal Law & Procedure, Crimes,","A woman wanted to make some money, so she decided to sell cocaine. She asked a man, who was reputed to have access to illegal drugs, to supply her with cocaine so she could resell it. The man agreed and sold the woman a bag of white powder. The woman then repackaged the white powder into smaller containers and sold one to an undercover police officer, who promptly arrested the woman. The woman immediately confessed and told police that the man was her supplier. Upon examination, the white powder was found not to be cocaine or any type of illegal substance. If the man knew the white powder was not cocaine but the woman believed it was, which of the following is correct?",Both the man and the woman are guilty of attempting to sell cocaine.,Neither the man nor the woman is guilty of attempting to sell cocaine.,"The man is guilty of attempting to sell cocaine, but the woman is not.","The man is not guilty of attempting to sell cocaine, but the woman is."
b,"Torts, Intentional Torts,","A neighbor, who lived next door to a homeowner, went into the homeowner's garage without permission and borrowed the homeowner's chain saw. the neighbor used the saw to clear broken branches from the trees on the neighbor's own property. After he had finished, the neighbor noticed several broken branches on the homeowner's trees that were in danger of falling on the homeowner's roof. While the neighbor was cutting the homeowner's branches, the saw broke. In a suit for conversion by the homeowner against the neighbor, will the homeowner recover?","Yes, for the actual damage to the saw.","Yes, for the value of the saw before the neighbor borrowed it.","No, because when the saw broke the neighbor was using it to benefit the homeowner","No, because the neighbor did not intend to keep the saw."
a,"Torts, Intentional Torts,","A seller sold his boat to a buyer. During negotiations, the buyer said that he planned to sail the boat on the open seas. The seller told the buyer that the boat was seaworthy and had never sustained any significant damage. In fact, the hull of the boat had been badly damaged when the seller had run the boat aground. The seller had then done a cosmetic repair to the hull rather than a structural repair. The buyer relied on the seller's representations and paid a fair price for a boat in good repair, only to discover after the sale was completed that the hull was in fact badly damaged and in a dangerous condition. The seller has refused to refund any of the buyer's money, and the buyer is contemplating suing the seller. Under what theory would the buyer be most likely to recover?",Fraud.,Intentional endangerment.,Negligent misrepresentation.,Strict products liability.
d,"Civil Procedure,","A manufacturer sued a buyer in federal court for failing to make timely payments under the parties' sales contract. The case was tried to the court solely on documentary evidence. Immediately after the close of the evidence, the judge announced from the bench, ""Judgment shall be entered for the manufacturer,"" and judgment was so entered. The buyer has appealed the judgment. What is the buyer's best argument for persuading the appellate court to reverse the judgment?",The judgment is clearly erroneous because it was based solely on documentary evidence.,The manufacturer was required to file proposed findings and conclusions before the trial court ruled.,The trial court erred because it announced the judgment without giving the parties an opportunity to submit proposed findings and conclusions.,The trial court erred by not providing findings and conclusions.
c,"Evidence, Privileges,","In a federal investigation of a defendant for tax fraud, the grand jury seeks to obtain a letter written January 15 by the defendant to her attorney in which she stated: ""Please prepare a deed giving my ranch to a particular university but, in order to get around the tax law, I want it backdated to December 15."" The attorney refuses to produce the letter on the ground of privilege. Production of the letter should be","prohibited, because the statement is protected by the attorney-client privilege.","prohibited, because the statement is protected by the client's privilege against self- incrimination","required, because the statement was in furtherance of crime or fraud.","required, because the attorney-client privilege belongs to the client and can be claimed only by her."
b,"Criminal Law & Procedure, Crimes,","After being fired from his job, a man drank almost a quart of vodka and decided to ride the bus home. While on the bus, he saw a briefcase he mistakenly thought was his own, and began struggling with the passenger carrying the briefcase. The man knocked the passenger to the floor, took the briefcase, and fled. The man was arrested and charged with robbery. The man should be:","acquitted, because he used no threats and was intoxicated.","acquitted, because his mistake negated the required specific intent.","convicted, because his intoxication was voluntary.","convicted, because mistake is no defense to robbery."
c,"Constitutional Law, Individual Rights,",A state initiated a criminal prosecution against the owner of a video store for selling a video that consisted entirely of pictures of nude sunbathers on a beach in a foreign country where nude public sunbathing is common. The state charged that selling the video violated its anti-obscenity law. The store owner defended on the ground that the prosecution violated his constitutional right to freedom of speech. Should the store owner prevail in this defense?,"No, because the store owner is engaged in the commercial sale of the video, which is not protected by the First and Fourteenth Amendments.","No, because the video consists entirely of portrayals of nudity, appeals to the prurient interest of viewers, and lacks serious social value as a whole.","Yes, because mere portrayals of nudity are insufficient to justify a finding that the video is obscene as a matter of constitutional law.","Yes, because the portrayals of nudity occurred outside the United States, and therefore the state lacks a compelling interest in applying its anti-obscenity law to the sale of the video."
c,"Contracts, Uniform Commercial Code,","By the terms of a written contract signed by both parties on January 15, a company agreed to sell a specific ICB personal computer to a customer for $3,000, and the customer agreed to pick up and pay for the computer at the company's store on February 1. The customer unjustifiably repudiated on February 1. Without notifying the customer, the company subsequently sold at private sale the same specific computer to another person, who paid the same price ($3,000) in cash. The ICB is a popular product. The company can buy from the manufacturer more units than it can sell at retail. If the company sues the customer for breach of contract, the company will probably recover","nothing, because it received a price on resale equal to the contract price that the customer had agreed to pay.","nothing, because the company failed to give the customer proper notice of its intention to sell.","the company's anticipated profit on the sale to the customer plus incidental damages, if any, because the company lost that sale.","$3,000 (the contract price), because the customer intentionally breached the contract by repudiation."
d,"Real Property, Easements, Covenants and Servitudes,","A woman owned land, which was improved with a dwelling. A neighbor owned an adjoining unimproved lot suitable for constructing a dwelling. The neighbor executed and delivered a deed granting the woman an easement over the westerly 15 feet of his unimproved lot for convenient ingress and egress to a public street, although the woman's lot abuts another public street. The woman did not then record the neighbor's deed. After the woman constructed and started using a driveway within the described 15-foot strip in a clearly visible manner, the neighbor borrowed $10,000 cash from a bank and gave the bank a mortgage on his unimproved lot. The mortgage was promptly and properly recorded. The woman then recorded the neighbor's deed granting her the easement. The neighbor subsequently defaulted on his loan payments to the bank. The recording act of the jurisdiction provides: ""No conveyance or mortgage of real property shall be good against subsequent purchasers for value and without notice unless the same be recorded according to law."" In an appropriate foreclosure action as to the neighbor's unimproved lot, brought against the woman and the neighbor, the bank seeks, among other things, to have the woman's easement declared subordinate to the bank's mortgage, so that the easement will be terminated by completion of the foreclosure. If the woman's easement is NOT terminated, it will be because",the recording of the deed granting the easement prior to the foreclosure action protects the woman's rights.,the easement provides access from the woman's land to a public street.,the woman's easement is appurtenant to her land and thus cannot be separated from her land.,visible use of the easement by the woman put the bank on notice of the easement.
